Dataset,Method,Model,Kappa,Accuracy,ROC-AUC,F1-Score,Sensitivity,Specificity,Precision
HEALTHY MT-BRCA,Light GBM,GA,0.25,0.625,0.625,0.6190476190476191,0.625,0.625,0.6333333333333333
HEALTHY MT-BRCA,Gradient Boosting,GA,0.5,0.75,1.0,0.7333333333333334,0.75,0.75,0.8333333333333333
HEALTHY MT-BRCA,Ada Boost,GA,0.75,0.875,0.8125,0.873015873015873,0.875,0.875,0.9
HEALTHY MT-BRCA,Random Forest,PSO,-0.25,0.375,0.625,0.2727272727272727,0.375,0.375,0.21428571428571427
HEALTHY MT-BRCA,XGBoost,PSO,0.0,0.5,0.625,0.4666666666666667,0.5,0.5,0.5
HEALTHY MT-BRCA,Light GBM,PSO,0.5,0.75,1.0,0.7333333333333334,0.75,0.75,0.8333333333333333
HEALTHY MT-BRCA,Gradient Boosting,PSO,0.25,0.625,0.75,0.6190476190476191,0.625,0.625,0.6333333333333333
HEALTHY MT-BRCA,Ada Boost,PSO,0.75,0.875,0.9375,0.873015873015873,0.875,0.875,0.9
HEALTHY MT-BRCA,Random Forest,ALL,0.5,0.75,0.75,0.7333333333333334,0.75,0.75,0.8333333333333333
HEALTHY MT-BRCA,XGBoost,ALL,0.25,0.625,0.5,0.6190476190476191,0.625,0.625,0.6333333333333333
HEALTHY MT-BRCA,Light GBM,ALL,0.5,0.75,0.875,0.7333333333333334,0.75,0.75,0.8333333333333333
HEALTHY MT-BRCA,Gradient Boosting,ALL,0.5,0.75,0.75,0.75,0.75,0.75,0.75
HEALTHY MT-BRCA,Ada Boost,ALL,0.75,0.875,1.0,0.873015873015873,0.875,0.875,0.9
HEALTHY-BRCA,Random Forest,GA,0.57487922705314,0.8787878787878788,0.9406779661016949,0.8964187327823692,0.9322033898305084,0.9322033898305084,0.9434343434343434
HEALTHY-BRCA,XGBoost,GA,0.4806866952789699,0.8333333333333334,0.9418886198547215,0.8614330218068537,0.9067796610169492,0.9067796610169492,0.9351851851851851
HEALTHY-BRCA,Light GBM,GA,0.611764705882353,0.8939393939393939,0.9322033898305085,0.9082719082719083,0.9406779661016949,0.9406779661016949,0.946969696969697
HEALTHY-BRCA,Gradient Boosting,GA,0.57487922705314,0.8787878787878788,0.9515738498789346,0.8964187327823692,0.9322033898305084,0.9322033898305084,0.9434343434343434
HEALTHY-BRCA,Ada Boost,GA,0.611764705882353,0.8939393939393939,0.9491525423728814,0.9082719082719083,0.9406779661016949,0.9406779661016949,0.946969696969697
HEALTHY-BRCA,Random Forest,PSO,0.57487922705314,0.8787878787878788,0.9358353510895885,0.8964187327823692,0.9322033898305084,0.9322033898305084,0.9434343434343434
HEALTHY-BRCA,XGBoost,PSO,0.4806866952789699,0.8333333333333334,0.9443099273607749,0.8614330218068537,0.9067796610169492,0.9067796610169492,0.9351851851851851
